"filename", "language", "JSON", "HTML", "Properties", "Markdown", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\TeacherDetails.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 0, 8, 64
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysis.css", "CSS", 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysis.js", "JavaScript", 0, 0, 0, 0, 164, 0, 0, 92, 37, 293
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisEighth.js", "JavaScript", 0, 0, 0, 0, 68, 0, 0, 8, 17, 93
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisFifth.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 3, 13, 61
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisFirst.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisFourth.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 2, 12, 85
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisSecond.js", "JavaScript", 0, 0, 0, 0, 118, 0, 0, 62, 40, 220
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisSeventh.js", "JavaScript", 0, 0, 0, 0, 99, 0, 0, 36, 31, 166
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisSixth.js", "JavaScript", 0, 0, 0, 0, 99, 0, 0, 70, 42, 211
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisThird.js", "JavaScript", 0, 0, 0, 0, 85, 0, 0, 19, 32, 136
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Media\Tutorial.css", "CSS", 0, 0, 0, 0, 0, 0, 33, 0, 5, 38
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Media\Tutorial.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 1, 9, 55
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Media\UploadForm.js", "JavaScript", 0, 0, 0, 0, 58, 0, 0, 1, 9, 68
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Media\UploadsList.js", "JavaScript", 0, 0, 0, 0, 109, 0, 0, 15, 30, 154
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Data.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 8, 74
