"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Result.js", "JavaScript", 80, 0, 0, 10, 13, 103
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\ResultTable.js", "JavaScript", 38, 0, 0, 0, 6, 44
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\StudentQuizMarks.js", "JavaScript", 95, 0, 0, 124, 55, 274
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Resultcard\FinalResult.js", "JavaScript", 325, 0, 0, 27, 55, 407
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentComplain.js", "JavaScript", 74, 0, 0, 1, 9, 84
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentDashboard.js", "JavaScript", 134, 0, 0, 0, 6, 140
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentHomePage.js", "JavaScript", 151, 0, 0, 7, 39, 197
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentProfile.js", "JavaScript", 100, 0, 0, 0, 6, 106
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentQuestion\ViewQuestion.js", "JavaScript", 64, 0, 0, 4, 7, 75
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentSideBar.js", "JavaScript", 93, 0, 0, 4, 3, 100
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentSubjects.js", "JavaScript", 121, 0, 0, 12, 15, 148
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Suggestion\Remark.js", "JavaScript", 131, 0, 0, 0, 5, 136
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Suggestion\Segmentation.js", "JavaScript", 583, 0, 0, 187, 84, 854
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Suggestion\Suggestion.js", "JavaScript", 47, 0, 0, 3, 8, 58
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\ViewStdAttendance.js", "JavaScript", 160, 0, 0, 13, 19, 192
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherClassDetails.js", "JavaScript", 172, 0, 0, 2, 21, 195
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherComplain.js", "JavaScript", 106, 0, 0, 0, 10, 116
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherDashboard.js", "JavaScript", 134, 0, 0, 0, 8, 142
